sample,x,y
A,-5.83513,-0.24251
A,-5.56699,-0.1615
A,2.65355,-4.21286
A,-1.09568,2.17559
A,1.90951,-3.04615
A,2.59929,-2.13122
A,-0.81534,-2.82532
A,1.5775,-0.1661
A,3.3959,-4.70218
A,4.77022,-0.40796
A,3.77135,-4.62218
A,5.39377,-1.05406
A,6.85992,0.54153
A,0.32998,4.26411
A,-0.54156,-5.51032
A,2.63884,-3.83314
A,3.63672,-4.81125
A,-5.33509,1.66573
A,1.83282,-2.99521
A,7.26229,0.02835
A,-2.13115,2.53403
A,-0.80137,0.72075
A,-1.39177,5.80444
A,-0.28304,-7.08971
A,-1.75102,3.44607
A,-1.08262,1.89651
A,1.83139,-5.1273
A,-2.0568,4.28873
A,-0.75762,-4.43746
A,4.20596,-3.87597
A,3.7697600000000002,-4.72833
A,1.65658,-4.96793
A,-4.46944,3.56714
A,2.40918,-2.76182
A,5.61612,-1.43596
A,7.70579,-0.54438
A,3.16903,-1.2623
A,5.85244,2.28136
A,-0.17485,-2.21639
A,3.12443,-2.70785
A,3.71759,-3.88312
A,-1.96311,2.70185
A,-0.86802,2.88752
A,2.92677,-4.35281
A,-5.31008,-1.45625
A,-2.33729,-1.84517
A,-2.05584,0.34249
A,0.45636,-4.78235
A,4.18123,-2.74071
A,2.34439,-4.77214
A,4.54461,-3.12114
A,-1.95981,-3.8084
A,2.17453,-3.15241
A,2.68312,-1.9395
A,0.85231,-3.37887
A,-2.3483,-1.37366
A,-5.61995,1.88781
A,-5.6714,0.49737
A,2.97462,-3.86948
A,-4.28654,2.39682
A,2.02541,-3.36157
A,1.60616,-3.57228
A,1.97768,-4.63704
A,0.98055,-2.13828
A,1.95023,-4.16577
A,4.26645,-2.51386
A,3.9203,-2.86129
A,4.23365,-3.7814
A,2.10875,-3.26283
A,0.52348,-4.52709
A,-0.98247,-4.79251
A,0.42177,-3.14838
A,4.55679,-2.97068
A,6.94599,-1.42136
A,2.82064,-1.28348
A,2.40023,-4.60701
A,1.63599,-5.20664
A,-6.4722,2.50779
A,-4.07086,-0.0718
A,0.46024,5.23195
A,-0.86342,1.51646
A,7.37093,1.00059
A,-4.34666,3.68074
A,4.79811,-1.2228
A,6.28218,-1.13252
A,4.73815,-2.4178
A,1.43106,-5.69215
A,3.38604,-3.20191
A,1.47459,-6.032
A,-1.85598,5.61742
A,2.50412,-3.52194
A,-6.11234,-0.20766
A,3.25362,2.56784
A,3.83128,-3.30444
A,-4.76326,1.22455
A,6.42231,-1.84836
A,3.31169,-2.49032
A,3.18556,-2.15219
A,-1.78938,4.82765
A,-4.11773,-0.23319
A,-0.12972,-6.71599
A,5.12638,0.23144
A,-2.71571,5.12806
A,7.62438,-0.7794
A,2.32488,-3.83305
A,-1.49191,5.23908
A,5.77734,-1.95623
A,7.00757,-1.09917
B,-5.56399,-5.52803
B,-5.12241,4.3216
B,-5.20811,-6.86397
B,4.07996,4.15381
B,-3.68288,-6.76337
B,-4.34882,-5.70582
B,-0.34664,1.53594
B,-1.43098,-4.52664
B,-4.53366,-4.12881
B,-3.78545,-6.59652
B,-6.00405,-5.67509
B,-5.14878,-3.60941
B,-4.72146,-2.91399
B,-6.48166,-5.21238
B,-1.92108,-0.48154
B,-2.91348,-3.45267
B,3.53189,-0.29122
B,-4.76091,-6.1644
B,-4.70763,-3.41052
B,-4.63102,-3.61164
B,-6.23271,-6.195
B,-4.6426,-5.53086
B,-2.75213,-3.43453
B,-3.99957,-6.41338
B,-1.78773,0.64463
B,-0.24299,0.45506
B,4.25076,2.94701
B,-0.70465,-2.37929
B,-6.28963,-5.20125
B,-4.05617,-5.57297
B,-1.86427,1.60484
B,6.90528,4.0328
B,-1.13712,4.54432
B,-4.36111,3.94187
B,-3.18841,0.60199
B,-5.46711,-6.13279
B,-2.25267,-0.63507
B,-2.75732,4.28782
B,-1.40013,1.31168
B,-5.43147,-5.8381
B,-3.68918,-6.75477
B,-2.05714,0.96223
B,-5.84369,-5.62465
B,-0.14467,0.72604
B,-5.33666,-6.89372
B,1.49025,-5.52155
B,8.15552,2.41022
B,2.44183,-1.02429
B,-5.43105,-5.29372
B,-6.48031,-5.42267
B,-6.26919,-6.19732
B,-3.8571,-6.19944
B,-3.01727,-3.68461
B,-3.84483,-5.26446
B,-1.64795,1.48269
B,-6.01946,-6.12172
B,4.07971,0.14599
B,-3.5476,-6.34402
B,-6.30785,-5.21176
B,2.01955,-0.32852
B,-5.41649,-6.83723
B,-5.60839,-6.3893
B,-4.37411,-5.8348
B,-5.24122,-6.0534
B,-4.54672,4.99796
B,0.298,4.98942
B,1.95262,-1.70215
B,-6.5891,-5.55861
B,-3.14953,3.83573
B,-4.5906,-0.80468
B,-4.89911,-5.46748
B,-2.58441,5.08379
B,-4.2282400000000004,1.61731
B,-5.00629,-5.54172
B,-6.13068,-5.23091
B,-1.55202,5.72942
B,-3.36835,-5.50098
B,0.2761,0.60615
B,-3.77189,-6.20996
B,-5.64803,-5.50274
B,-2.68802,4.15526
B,-2.60264,0.54674
B,-0.95577,2.78112
B,-6.67584,-5.54446
B,-4.04974,-5.52347
B,-6.51399,-5.97334
B,3.84545,0.03747
B,-4.54279,-4.15206
B,-1.9916,3.434
B,-5.51352,-5.31987
B,-4.30765,4.48334
B,-6.12472,1.69061
B,-1.91488,-4.92173
B,-4.66091,-2.35057
B,-4.38913,-4.90505
B,-3.96574,-6.42458
B,-0.36041,3.7428
B,0.25363,-3.34273
B,-4.3828,-6.39276
B,-4.20429,-6.90348
B,-4.68219,-6.44344
B,-6.3503,-5.92401
B,-5.23011,1.38265
B,-5.33545,-0.09302
B,-4.54682,4.73991
B,-0.18893,1.32858
B,-2.00991,4.355
B,3.69522,0.28417
B,-6.09778,-5.32786
B,-4.25143,3.16559
B,-6.40517,-5.91166
B,-3.64761,-0.19808
B,-4.13466,3.57772
