sample,x,y
A,3.615,-2.76257
A,-2.06333,3.22055
A,-2.84047,-1.63778
A,1.91832,-6.54872
A,-3.46401,3.98878
A,-5.35239,-0.17806
A,2.32431,-4.27922
A,7.01144,1.40373
A,4.81022,-2.56429
A,-0.98695,2.40132
A,3.4106,-0.79208
A,-4.20044,1.99553
A,-5.33913,-0.93201
A,-7.04761,0.26384
A,5.42699,-2.15571
A,-0.35571,-6.54767
A,-2.98534,2.91164
A,2.89834,-4.51257
A,-4.35283,1.61463
A,7.66658,3.13269
A,-1.53944,-4.24276
A,-5.2009,-0.0247
A,-1.7192,-3.85233
A,2.6019,-4.81842
A,1.17763,-2.11117
A,7.02736,0.44377
A,3.80166,-4.74943
A,1.81638,-4.33015
A,-2.46004,-4.82698
A,-2.04473,5.72868
A,-0.94946,2.62834
A,4.09935,-4.0836
A,2.77407,-4.1244
A,-1.77313,-5.06679
A,3.33546,-4.45657
A,2.06695,-0.58914
A,0.79683,-1.87257
A,1.74396,-4.91082
A,4.62563,-3.14169
A,3.23815,-4.79248
A,2.5011,-2.41326
A,6.33144,-1.34681
A,-0.15456,5.51517
A,2.34195,-4.49689
A,1.1659,-0.32329
A,2.15275,-3.65869
A,-2.16324,0.38471
A,2.9403,-3.73993
A,7.18907,1.59604
A,4.84899,0.31282
A,7.34643,3.59937
A,-2.89717,0.08358
A,7.08615,3.8078
A,-2.14749,-0.8551
A,-5.24027,3.30393
A,6.24917,-1.14285
A,-4.15121,4.48862
A,4.96317,5.58343
A,-4.74568,0.00279
A,7.72968,0.14604
A,-1.18712,-5.22854
A,3.03576,-1.93715
A,3.37814,-1.56138
A,-5.67001,-1.61116
A,-2.17924,5.40726
A,2.29041,-4.25104
A,1.60619,-6.14042
A,7.11402,0.78917
A,5.33547,-1.32126
A,-1.18228,-0.69797
A,0.85956,-1.01788
A,-3.90002,0.9578
A,2.60723,-3.59997
A,-0.65831,2.45973
A,2.28644,-4.94344
A,-2.01491,1.80714
A,-4.74733,-1.23964
A,3.60121,-4.2731
A,5.92501,-1.44338
A,2.60889,-2.63732
A,0.94622,-3.27194
A,3.23889,-0.82392
A,2.79907,-2.49044
A,4.40645,-2.53809
A,1.57636,-3.64219
A,3.36325,-1.28848
A,-4.66572,-2.01945
A,-4.06081,0.62047
A,7.32051,1.67052
A,-1.29594,0.75967
A,-0.28833,-6.31781
A,-0.10035,3.2850799999999998
A,-4.05627,0.26883
A,-2.95251,3.91445
A,5.42621,-2.01753
A,-5.81651,0.00909
A,-5.70957,-0.26932
A,-4.33097,-0.23603
A,2.4927,-3.73958
A,1.39643,-5.25463
A,3.5803,-4.45202
A,5.71404,-1.48896
A,3.37082,-4.60779
A,4.78912,-2.0567
A,-1.93843,5.73603
A,3.06116,-4.2859
A,5.33842,-2.64078
A,6.65551,-1.45369
A,4.90234,-2.40931
A,3.78002,-3.7284
A,2.06361,1.03534
A,-4.01269,0.02622
A,-1.55104,-2.99879
A,4.18956,-3.92462
A,-1.14283,0.76483
A,-1.01844,5.81446
A,3.94753,-1.22431
A,5.96483,-1.42805
A,7.64674,-0.86959
A,-3.70756,-2.58432
A,-1.51427,1.86412
A,1.86201,-3.04758
A,3.12123,-4.15455
A,-6.20926,1.28808
A,-4.73335,0.35577
A,0.86201,-3.78837
A,1.96861,-4.24216
A,-0.13359,-5.93574
A,2.30981,-2.60127
A,2.96286,-2.36697
A,-1.07664,1.63649
A,-3.6867,1.35883
