chr,start,end,score
chr2,3049877,3050981,3.462623221
chr2,3050992,3052464,0.376475556
chr2,3052464,3053936,0.781834229
chr2,3053936,3055408,0.320758604
chr2,3055408,3056748,0.233224776
chr2,3056748,3058192,0.237308146
chr2,3058192,3059664,0.372027972
chr2,3059792,3061264,0.26221736
chr2,3061264,3062736,0.640760795
chr2,3062736,3064208,0.501845573
chr2,3064208,3065680,0.390489122
chr2,3065680,3066822,0.280645167
chr2,3066822,3068294,0.366032559
chr2,3068294,3069766,0.329675453
chr2,3069766,3071238,0.18658008
chr2,3071576,3072680,0.256017505
chr2,3072882,3074317,0.188428875
chr2,3074317,3075720,0.378623188
chr2,3075720,3076824,0.311527905
chr2,3076942,3078414,0.316883996
chr2,3078414,3079846,0.298800974
chr2,3079846,3081190,0.278586504
chr2,3081219,3082323,0.344262295
chr2,3082409,3083881,0.306968106
chr2,3083881,3084249,0.175294124
chr2,3085015,3086487,0.204564666
chr2,3086487,3087959,0.40346469
chr2,3087959,3089431,0.457777804
chr2,3089431,3090535,0.283619818
chr2,3090550,3092022,0.453488372
chr2,3092255,3093727,0.417561793
chr2,3093727,3095199,0.558301594
chr2,3095199,3096671,0.482506876
chr2,3096671,3098143,0.395040761
chr2,3098143,3099247,0.298702519
chr2,3099401,3100858,0.525292993
chr2,3100858,3102330,0.435166728
chr2,3102330,3103802,0.561005468
chr2,3103802,3105274,0.464863022
chr2,3105274,3106746,0.432137574
chr2,3106746,3108218,0.675898171
chr2,3108218,3109322,0.52264568
chr2,3109373,3110698,0.331594229
chr2,3110698,3112170,0.229333338
chr2,3112170,3113642,0.559725438
chr2,3113642,3115114,0.541929328
chr2,3115114,3116586,0.303512562
chr2,3116586,3118058,0.911874937
chr2,3118058,3119530,2.503784014
chr2,3119530,3121002,0.509103277
chr2,3121002,3122474,0.506739122
chr2,3122474,3123946,0.396554217
chr2,3123946,3125418,0.311441662
chr2,3125418,3126522,0.356446371
chr2,3126765,3128237,0.356774669
chr2,3128237,3129709,0.643342391
chr2,3129709,3131181,0.504921403
chr2,3131181,3132653,0.319236016
chr2,3132653,3134125,0.572690217
chr2,3134125,3135229,0.356954904
chr2,3135284,3136756,0.401049711
chr2,3136756,3138228,0.418224299
chr2,3138228,3139700,0.710848188
chr2,3139700,3141172,0.509307074
chr2,3141172,3142644,0.693158938
chr2,3142644,3144116,0.658026706
chr2,3144116,3145588,0.479823361
chr2,3145588,3147060,0.528533936
chr2,3147075,3148547,0.414391719
chr2,3148547,3150019,0.697445662
chr2,3150019,3151491,0.618236517
chr2,3151491,3152963,0.251079724
chr2,3152963,3154435,0.327309168
chr2,3154435,3155626,0.239980842
chr2,3155671,3157143,0.513790794
chr2,3157143,3158615,0.389097256
chr2,3158615,3160087,0.451465609
chr2,3160087,3161256,0.651100579
chr2,3161256,3162386,0.252742622
chr2,3162386,3163858,0.451766304
chr2,3163858,3164962,0.592196117
chr2,3165041,3166513,0.458288068
chr2,3166513,3167985,0.60781255
chr2,3167985,3169457,0.758671626
chr2,3169457,3170929,0.773736373
chr2,3170929,3172401,0.259868421
chr2,3172401,3173873,0.508899481
chr2,3173873,3175345,0.514945652
chr2,3175345,3176588,0.277252266
chr2,3177108,3178580,0.343342408
chr2,3178580,3180052,0.407377066
chr2,3180052,3181284,0.378557875
chr2,3181284,3182473,0.385315383
chr2,3182473,3183945,0.330978269
chr2,3183945,3185417,0.407215752
chr2,3185417,3186889,0.366548321
chr2,3186889,3188011,0.325048936
chr2,3188011,3189483,0.269109606
chr2,3189483,3190955,0.362185513
chr2,3190955,3192427,0.55744831
chr2,3192427,3193899,0.590237783
chr2,3193899,3195371,0.499864122
chr2,3195371,3196843,0.472622291
chr2,3196843,3198315,0.419061175
chr2,3198315,3199787,0.412239047
chr2,3199787,3201259,0.421289355
chr2,3201271,3202743,0.369863014
chr2,3202743,3204215,0.389992642
chr2,3204215,3205687,0.35434781
chr2,3205687,3207159,0.471046199
chr2,3207159,3208631,0.38103999
chr2,3208631,3209974,0.463029146
chr2,3209974,3211446,0.296127734
chr2,3211446,3212918,0.308494208
chr2,3212918,3214390,0.476733123
chr2,3214390,3215862,0.346806791
chr2,3215862,3217334,0.464602444
chr2,3217334,3218806,0.524673918
chr2,3218806,3220278,0.468542419
chr2,3220278,3221750,0.32942858
chr2,3221750,3223222,0.210245902
chr2,3223222,3224342,0.502329075
chr2,3224342,3225814,0.691423405
chr2,3225814,3227286,0.536175272
chr2,3227286,3228758,0.579418185
chr2,3228758,3230230,0.820569874
chr2,3230283,3231755,0.455120928
chr2,3231755,3233227,0.36107337
chr2,3233227,3234331,0.467535107
chr2,3234460,3235932,0.449820514
chr2,3235932,3237404,0.446026278
chr2,3237404,3238876,0.30402084
chr2,3238876,3240348,0.380637827
chr2,3240348,3241820,0.37554347
chr2,3241820,3243292,0.336208309
chr2,3243292,3244764,0.39548979
chr2,3244764,3246236,0.304654668
chr2,3246237,3247709,0.443388463
chr2,3247709,3248813,0.594174848
chr2,3248823,3250295,0.359782592
chr2,3250295,3251767,0.430303504
chr2,3251767,3253239,0.28480393
chr2,3253239,3254711,0.324576254
chr2,3254711,3256183,0.454972387
chr2,3256183,3257655,0.388798247
chr2,3257655,3259127,0.316234305
chr2,3259303,3260775,0.3307633
chr2,3260949,3262421,0.35249009
chr2,3262421,3263881,0.443880429
chr2,3263881,3265353,0.456250025
chr2,3265353,3266501,0.462734302
chr2,3266501,3267973,0.23188855
chr2,3267973,3269205,0.329338447
chr2,3269205,3270677,0.349519582
chr2,3270953,3272425,0.404941914
chr2,3272425,3273897,0.349479554
chr2,3273897,3275369,0.412509021
chr2,3275369,3276841,0.454755451
chr2,3276841,3278313,0.435122283
chr2,3278313,3279785,0.492835642
chr2,3279785,3280889,0.3685742
chr2,3281014,3282486,0.55923918
chr2,3282486,3283958,2.382452592
chr2,3283958,3285430,5.993058578
chr2,3285430,3286902,0.73061827
chr2,3286902,3288374,0.491328153
chr2,3288374,3289846,0.361413043
chr2,3289846,3291318,0.321808135
chr2,3291318,3292790,0.449456505
chr2,3292790,3294024,0.25738254
chr2,3294024,3295496,0.487432065
chr2,3295496,3296968,0.518206555
chr2,3296968,3298440,0.405411273
chr2,3298471,3299575,0.250000016
chr2,3299687,3301159,0.574932098
chr2,3301159,3302631,0.474089664
chr2,3302631,3304103,0.254305794
chr2,3304340,3305812,0.340491237
chr2,3305812,3307137,0.416231355
chr2,3307137,3308609,0.325846388
chr2,3308812,3310284,0.48480663
chr2,3310530,3311775,0.27384615
chr2,3311775,3313247,0.391708363
chr2,3313247,3314719,0.703247319
chr2,3314719,3316191,0.32925458
chr2,3316191,3317663,0.440196061
chr2,3317663,3319135,0.456725535
chr2,3319135,3320388,0.546112324
chr2,3320388,3321860,0.393888897
chr2,3321860,3323332,0.419577382
chr2,3323332,3324443,0.495095401
chr2,3324443,3325915,0.580665796
chr2,3325915,3327387,0.608342378
chr2,3327387,3328859,0.562492486
chr2,3328859,3330331,0.455785478
chr2,3330331,3331803,0.494004309
chr2,3331803,3333275,5.794870128
chr2,3333275,3334747,0.808083607
chr2,3334799,3336271,1.394218611
chr2,3336271,3337743,0.641256747
chr2,3337743,3338915,0.437348053
chr2,3338915,3340387,0.818933487
chr2,3340387,3341859,0.253737672
chr2,3341859,3343331,0.828987785
chr2,3343331,3344803,0.395356028
chr2,3344803,3346275,0.44476903
chr2,3346275,3347379,0.541745731
chr2,3347517,3348989,0.268368812
chr2,3348989,3350093,0.657637309
chr2,3350148,3351620,0.269473699
chr2,3351620,3353092,0.245400834
chr2,3353092,3354564,0.288604825
chr2,3354564,3355668,0.413061274
chr2,3356078,3357550,0.304076112
chr2,3357550,3359022,0.307832176
chr2,3359022,3360494,0.482608712
chr2,3360494,3361603,0.383613426
chr2,3361603,3363075,0.366530038
chr2,3363075,3364547,0.383831522
chr2,3364547,3365651,0.492286751
