chr,start,end,name,score,value,exp,classre,region1Chrom,region1Start,regionEnd,region1Name,region1Strand,region2Chrom,region2Start,region2End,region2Name
chr2,46472,46588,promoter|chr2:46322-47344,0,3.830217,.,cis,chr2,46472,47194,promoter|chr2:46322-47344,.,chr2,38813,46588,FAM110C	-
chr2,46588,175225,intergenic|chr2:175075-176601,0,27.615421,.,cis,chr2,175225,176451,intergenic|chr2:175075-176601,.,chr2,38813,46588,FAM110C	-
chr2,46588,260818,genic|chr2:260668-261248,0,6.857031,.,cis,chr2,260818,261098,genic|chr2:260668-261248,.,chr2,38813,46588,FAM110C	-
chr2,46588,270847,genic|chr2:270697-271305,0,4.402827,.,cis,chr2,270847,271155,genic|chr2:270697-271305,.,chr2,38813,46588,FAM110C	-
chr2,46588,289662,intergenic|chr2:289512-290574,0,7.11169,.,cis,chr2,289662,290424,intergenic|chr2:289512-290574,.,chr2,38813,46588,FAM110C	-
chr2,46588,675120,genic|chr2:674970-676590,0,14.123807,.,cis,chr2,675120,676440,genic|chr2:674970-676590,.,chr2,38813,46588,FAM110C	-
chr2,46588,86357,intergenic|chr2:86207-86707,0,2.520043,.,cis,chr2,86357,86557,intergenic|chr2:86207-86707,.,chr2,38813,46588,FAM110C	-
chr2,175225,1748319,intergenic|chr2:175075-176601,0,27.615421,.,cis,chr2,175225,176451,intergenic|chr2:175075-176601,.,chr2,1635658,1748319,PXDN	-
chr2,175225,264097,intergenic|chr2:175075-176601,0,27.615421,.,cis,chr2,175225,176451,intergenic|chr2:175075-176601,.,chr2,218135,264097,SH3YL1	-
chr2,175225,278282,intergenic|chr2:175075-176601,0,27.615421,.,cis,chr2,175225,176451,intergenic|chr2:175075-176601,.,chr2,264868,278282,ACP1	+
chr2,175225,288308,intergenic|chr2:175075-176601,0,27.615421,.,cis,chr2,175225,176451,intergenic|chr2:175075-176601,.,chr2,279560,288308,ALKAL2	-
chr2,175225,677439,intergenic|chr2:175075-176601,0,27.615421,.,cis,chr2,175225,176451,intergenic|chr2:175075-176601,.,chr2,667972,677439,TMEM18	-
chr2,230582,264097,genic|chr2:230432-231133,0,4.316485,.,cis,chr2,230582,230983,genic|chr2:230432-231133,.,chr2,218135,264097,SH3YL1	-
chr2,230582,278282,genic|chr2:230432-231133,0,4.316485,.,cis,chr2,230582,230983,genic|chr2:230432-231133,.,chr2,264868,278282,ACP1	+
